id,model,model_type,category,subcategory,prompt_text,style_tags,use_case,popularity_score,why_it_works,model_specific_technique
veo_31_0011,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:04] Wide shot of a chrome fuel cap on a polished muscle car hood, illuminated by natural diffused light with soft shadows. Camera performs a smooth dolly push forward, capturing reflections and engraved logo. Cut to [00:04-00:07] macro focus on cap texture and threading with shallow depth of field. Audio: ambient garage sounds with faint metallic clicks.","natural lighting, dolly push, macro, chrome, photorealistic",product_catalog,7,Combines wide establishing shot and intimate detail to showcase both form and function effectively.,timestamp multi-shot with dolly push and macro detail
veo_31_0012,Veo 3.1,video,Product Photography,Automotive Products,Studio shot of a set of high-end car floor mats arranged flat with overhead softbox illumination creating soft shadows. [00:00-00:05] Crane shot from above slowly descending to show textures and precise stitching. Depth of field keeps entire product sharp. Matte finish fabric contrasts with glossy rubber edging. Audio: soft fabric rustling as camera moves.,"studio lighting, crane shot, texture, matte finish, photorealistic",product_catalog,7,Overhead crane shot perfectly displays product layout and material details important for buyers.,crane shot with softbox studio lighting
veo_31_0013,Veo 3.1,video,Product Photography,Automotive Products,[00:00-00:03] Slow aerial drone circle around a set of sporty brake discs arranged on black reflective surface. Natural diffused lighting with soft reflections emphasizes metallic grooves and drilled holes. Cut to [00:03-00:06] extreme close-up capturing signature manufacturer etching with shallow depth of field. Audio: quiet ambient workshop noise.,"aerial drone, natural lighting, close-up, reflective, photorealistic",product_catalog,8,Dynamic aerial framing combined with macro detail highlights product craftsmanship and design signature.,aerial drone with macro close-up on reflective surface
veo_31_0014,Veo 3.1,video,Product Photography,Automotive Products,Close-up of a set of premium chrome lug nuts arranged in a symmetrical pattern on matte black background. Controlled studio lighting with high contrast and subtle lens flare emphasizes shape and polished finish. [00:00-00:05] Slow dolly push across nuts with shallow depth of field highlights design variations. Audio: light metallic clinking sounds.,"studio lighting, macro, chrome, shallow depth of field, product catalog",product_catalog,7,Symmetry and controlled lighting draw attention to product details critical for buyer confidence.,dolly push with shallow depth of field and lens flare
veo_31_0015,Veo 3.1,video,Product Photography,Automotive Products,[00:00-00:06] Tracking shot of a sleek car battery on a reflective surface with studio lighting simulating golden hour warmth. Camera glides from side to front capturing embossed branding and textured casing. Depth of field isolates battery from softly blurred background. Audio: faint electrical hum enhancing tech vibe.,"studio lighting, tracking shot, reflective, warm tone, photorealistic",product_catalog,8,Warm lighting and smooth tracking convey product reliability and premium feel effectively.,tracking shot with golden hour simulated studio lighting
veo_31_0016,Veo 3.1,video,Product Photography,Automotive Products,"Handheld steadycam close-range shot of a futuristic side mirror with integrated turn signal LED strip, illuminated by soft neon blue studio lights. [00:00-00:05] Slow movement circling mirror highlights aerodynamic shape and glass reflectivity. Lens flare used sparingly to accent edges. Audio: soft electrical beep of turn signal activation.","neon-lit, steadycam, close-up, futuristic, photorealistic",product_catalog,9,Dynamic camera movement combined with neon lighting emphasizes product innovation and detail.,steadycam circling shot with neon lighting and lens flare
veo_31_0017,Veo 3.1,video,Product Photography,Automotive Products,"Wide shot of a set of premium car speakers arranged on black velvet under diffused studio light, creating soft shadows and reflections. [00:00-00:04] Slow dolly push forward with depth of field isolating central speaker cone. Cut to [00:04-00:07] close-up macro of speaker mesh and branding embossed on surround. Audio: subtle low bass vibration synchronized with camera movement.","studio lighting, dolly push, macro, soft shadows, photorealistic",product_catalog,8,Combination of wide and macro shots showcases both overall design and fine detail for comprehensive product display.,dolly push with macro close-up and synchronized audio
veo_31_0018,Veo 3.1,video,Product Photography,Automotive Products,[00:00-00:06] Steadicam tracking shot following the curve of a polished chrome exhaust manifold under natural diffused daylight. Camera movement emphasizes smooth bends and weld quality. Background softly blurred with bokeh. Audio: subtle metallic clinks and airflow sounds enhance authenticity.,"natural lighting, steadicam, bokeh, chrome, photorealistic",product_catalog,7,Natural lighting paired with smooth camera movement highlights product craftsmanship in a realistic setting.,steadicam tracking shot with natural diffused lighting and bokeh
veo_31_0019,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:05] Close-up macro shot of a high-gloss painted gear shift knob with visible carbon fiber inlays, illuminated by soft studio spotlights. Depth of field shifts focus from textured grip to gloss finish edges. Cut to [00:05-00:08] slow dolly out revealing entire car interior console. Audio: soft mechanical clicks simulating gear shifts.","macro, studio lighting, carbon fiber, depth of field, photorealistic",product_catalog,9,Detail and context shots combined effectively demonstrate product quality and integration inside vehicle.,macro focus pull to dolly out shot with soft studio lighting
veo_31_0020,Veo 3.1,video,Product Photography,Automotive Products,"Anamorphic lens wide shot of a luxury car tire rolling slowly on reflective wet asphalt under neon city lights. Camera performs smooth tracking shot parallel to tire rotation, emphasizing wet texture and tread detail. Lens flare enhances neon reflections. Audio: soft wet road splash and urban night ambiance.","anamorphic, tracking shot, neon-lit, wet texture, cinematic",product_catalog,8,"Cinematic style captures product in dynamic, atmospheric urban environment for aspirational appeal.",anamorphic tracking shot with neon-lit wet surface and synchronized audio
veo_31_0021,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:04] Studio shot of a high-precision torque wrench laid flat on textured carbon fiber surface, illuminated by overhead soft diffused lights. Slow crane shot descends vertically to reveal engraved measurement markings and ergonomic handle design. Cut to [00:04-00:07] macro detail of the ratchet mechanism with shallow depth of field. Audio: subtle metallic clicks.","studio lighting, crane shot, macro, carbon fiber, precision",product_catalog,7,Vertical crane shot combined with macro details highlights tool functionality and material contrast clearly.,crane shot with macro and diffused overhead lighting
veo_31_0022,Veo 3.1,video,Product Photography,Automotive Products,"Close-up handheld shot of an advanced car key fob resting on smooth leather seat, illuminated by warm golden hour sunlight streaming through window. Lens flare and soft bokeh background create luxury atmosphere. Focus pull shifts from logo to button details. Audio: faint soft click of button press.","natural lighting, handheld, golden hour, bokeh, luxury",product_catalog,8,Warm natural lighting combined with tight focus shifts enhance product prestige and tactile appeal.,handheld close-up with focus pull and golden hour lighting
veo_31_0023,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:06] Slow dolly push on a high-performance brake rotor with cooled ventilation holes, set on metallic stand inside studio. Studio lighting uses spotlights and softboxes to create balanced shadows and sharp highlights on machined surfaces. Cut to [00:06-00:09] extreme close-up macro of rotor edge and drilled holes. Audio: light metallic scraping.","studio lighting, dolly push, macro, machined metal, photorealistic",product_catalog,9,Shows product engineering and quality through clean studio presentation and detailed macro focus.,dolly push with macro extreme close-up and balanced studio lighting
veo_31_0024,Veo 3.1,video,Product Photography,Automotive Products,"Handheld steadycam shot circling a premium car sunroof control panel with illuminated buttons, under subtle neon violet lighting in darkened car interior. Lens flare on glass surfaces enhances futuristic mood. Focus transitions from buttons to textured panel finish. Audio: soft button clicks with ambient electronic hum.","neon-lit, steadycam, close-up, futuristic, photorealistic",product_catalog,8,Dynamic camera movement and lighting create an immersive feel that highlights product usability and design.,steadycam circling with neon lighting and focus transitions
veo_31_0025,Veo 3.1,video,Product Photography,Automotive Products,[00:00-00:05] Wide shot of a set of colorful automotive fuses on a reflective black surface with diffused studio lighting. Camera performs a smooth dolly push bringing the viewer closer to detailed fuse markings. Cut to [00:05-00:08] macro close-up highlighting fuse filament texture with shallow depth of field and subtle lens flare. Audio: faint electrical crackle.,"studio lighting, dolly push, macro, reflective, photorealistic",product_catalog,7,Combines wide product overview with intimate detail to communicate both variety and quality.,timestamp multi-shot with dolly push and macro close-up under diffused lighting
veo_31_0026,Veo 3.1,video,Product Photography,Automotive Products,"A sleek, photorealistic close-up of a high-performance sports car alloy wheel, focusing on intricate spoke details and metallic texture. Use a shallow depth of field with bokeh highlights reflecting in the polished surfaces. Lighting is studio softbox on one side, creating gentle shadows and emphasizing contours. Camera movement: a slow 360-degree dolly push around the wheel. Background is minimalist matte black to isolate the product. [00:00-00:05] Wide shot establishing the wheel within the car frame. [00:05-00:10] Close-up with rack focus shifting between lug nuts and spokes. Audio: subtle metallic clicks syncing with focus shifts.","photorealistic, studio lighting, shallow depth of field",product_catalog,9,Combines detailed close-ups with dynamic camera movement and refined lighting to highlight product craftsmanship.,Timestamp-based multi-shot with rack focus
veo_31_0027,Veo 3.1,video,Product Photography,Automotive Products,"A cinematic 4K shot of a futuristic electric car charging plug, positioned against a neon-lit urban night backdrop. Use vibrant neon pink and blue rim lighting to accentuate the plug’s edges and high-tech design. Camera movement: slow tracking shot moving from handle grip to connector tip. Lighting: neon-lit with reflections on glossy surfaces. Mood: modern, sleek, and cutting-edge. Audio: soft electric hum mixed with city ambient sounds.","cinematic 4K, neon-lit, modern",product_catalog,8,Neon lighting combined with dynamic tracking emphasizes the tech-forward nature of the product.,Camera tracking shot with native audio layering
veo_31_0028,Veo 3.1,video,Product Photography,Automotive Products,"A high-detail photorealistic shot of a premium leather car seat interior, captured with natural diffused lighting streaming through a car window. Use an anamorphic lens to add cinematic flare and subtle lens artifacts. Camera movement: gentle handheld push-in focusing on texture of stitching and material grain. Background softly blurred for depth of field. [00:00-00:04] Wide shot of the seat in context. [00:04-00:08] Close-up detail of stitch pattern. Audio: soft ambient car interior sounds.","photorealistic, natural diffused, anamorphic",product_catalog,9,Combines realistic detail with cinematic techniques to convey luxury and craftsmanship.,Anamorphic lens flare and handheld push-in
veo_31_0029,Veo 3.1,video,Product Photography,Automotive Products,"A golden hour outdoor shot of a rugged off-road tire, positioned on rocky terrain. Use warm natural sunlight highlighting tread depth and sidewall branding. Camera movement: slow aerial drone sweptown starting wide and finishing focused on tire details. Depth of field: moderate to keep the tire and foreground sharp. Mood: adventurous, durable. Audio: subtle wind and distant nature ambiance.","golden hour, natural lighting, aerial drone",product_catalog,8,Utilizes natural rugged environment and warm lighting to evoke durability and performance.,Aerial drone with timestamped wide to close-up shots
veo_31_0030,Veo 3.1,video,Product Photography,Automotive Products,"A clean, minimalist studio shot of a chrome car gear knob with intricate engraving. Use soft, diffused studio lighting and a reflective black base to create subtle reflections. Camera movement: slow dolly push-in with a shallow depth of field focusing on the engraving. Background: seamless white gradient fade. Audio: subtle metallic swivel sound synced with camera motion.","studio lighting, minimalist, reflective",product_catalog,7,Minimalism and reflective surfaces emphasize product elegance and detail with clarity.,Dolly push with synced native audio effects
veo_31_0031,Veo 3.1,video,Product Photography,Automotive Products,"A dynamic film grain cinematic shot of a high-performance brake caliper painted bright red, mounted on a matte black wheel. Use studio spotlighting with strong shadows to emphasize shape and color contrast. Camera movement: crane shot descending slowly from wheel rim to caliper. [00:00-00:06] Wide establishing wheel with caliper. [00:06-00:12] Close-up on caliper logo and brake pad textures. Audio: faint mechanical scraping and subtle heartbeat rhythm.","film grain, studio lighting, cinematic",product_catalog,8,Contrasting colors and dramatic lighting highlight performance and design quality.,Crane shot with layered audio for mood
veo_31_0032,Veo 3.1,video,Product Photography,Automotive Products,"A photorealistic close-up of a modern LED headlight assembly, showcasing lens optics and internal reflector details. Lighting uses a cool, natural diffused source with subtle glow effects around the LED elements. Camera movement: slow tracking shot from outer lens to inner LED array. Background: soft black gradient. Mood: futuristic and precise. Audio: faint electrical buzzing synced to LED illumination pulses.","photorealistic, natural diffused, futuristic",product_catalog,9,Focuses on technological complexity with clean lighting and subtle motion to maintain viewer interest.,Tracking shot with native audio pulsing
veo_31_0033,Veo 3.1,video,Product Photography,Automotive Products,A high-resolution product shot of a carbon fiber car spoiler mounted on a matte black vehicle body. Use strong directional studio lighting from the side to reveal carbon weave texture and aerodynamic shape. Camera movement: steadycam lateral tracking along spoiler length. Background: solid white for contrast. Mood: performance and precision engineering. Audio: soft wind rush sound synced with camera glide.,"studio lighting, steadycam, high resolution",product_catalog,8,"Side lighting accentuates texture and shape, while smooth camera movement conveys sleekness.",Steadycam tracking with synced ambient sound
veo_31_0034,Veo 3.1,video,Product Photography,Automotive Products,"A minimalist, color graded cinematic shot of a polished stainless steel exhaust tip, resting on a reflective black surface with soft studio rim lighting emphasizing curves and edges. Camera movement: slow dolly-out revealing entire length of exhaust pipe. Depth of field: shallow with focused highlight on pipe opening. Mood: premium and modern. Audio: low rumble sound matching camera retreat.","cinematic, color graded, studio lighting",product_catalog,7,Color grading and rim lighting create a premium aesthetic that highlights material quality.,Dolly-out with native audio rumble
veo_31_0035,Veo 3.1,video,Product Photography,Automotive Products,"An ultra-detailed macro shot of a car dashboard control knob, highlighting tactile surface textures and engraved icons. Use natural diffused lighting with subtle anamorphic lens flare along edges. Camera movement: micro handheld push focusing on rotating knob mechanism. Background: blurred dashboard elements with bokeh. Audio: mechanical click sounds synchronized with knob rotation.","macro, natural diffused, anamorphic",product_catalog,9,Macro detail combined with tactile audio cues immerses viewers in product interaction.,Micro handheld push with synced mechanical audio
veo_31_0036,Veo 3.1,video,Product Photography,Automotive Products,"A cool-toned photorealistic shot of a car tire pressure sensor embedded in the valve stem, isolated on a matte grey background. Use softbox overhead lighting for even illumination and minimal shadows. Camera movement: static close-up with slight rack focus from valve stem to sensor chip. Audio: subtle electronic beep indicating sensor activation.","photorealistic, softbox lighting, cool-toned",product_catalog,7,Even lighting and focus shifts highlight small technical features clearly for commercial clarity.,Static shot with rack focus and native audio beep
veo_31_0037,Veo 3.1,video,Product Photography,Automotive Products,"A dynamic wide shot of a luxury car’s rearview mirror assembly in a studio setting, with a subtle gold hour light filter to warm the reflections. Camera movement: smooth dolly circle around the mirror, showcasing reflective glass and integrated sensors. Background: deep charcoal gradient. Mood: elegant and refined. Audio: soft ambient studio hum with mirror adjustment clicks.","golden hour, studio lighting, dynamic",product_catalog,8,Combining warm light and fluid motion emphasizes both design and function attractively.,Dolly circle with layered ambient sounds
veo_31_0038,Veo 3.1,video,Product Photography,Automotive Products,"A sharp, color-graded close-up of a carbon fiber steering wheel grip section with red stitching accents, illuminated by diffused softbox lighting. Camera movement: slow handheld push focusing on texture and detail with shallow depth of field. Background: blurred car interior elements with subtle bokeh lights. Mood: sporty and luxurious. Audio: light leather rubbing and car interior ambiance.","color graded, softbox lighting, shallow depth of field",product_catalog,9,Texture and color accents paired with intimate camera movement create premium feel.,Handheld push with ambient sound layering
veo_31_0039,Veo 3.1,video,Product Photography,Automotive Products,"A minimalist, high-contrast black and white shot of a chrome side mirror against a black glossy car door, emphasizing reflections and form. Use hard directional studio lighting creating strong shadows. Camera movement: static with slow rack focus from mirror edges to mounting base. Audio: soft mechanical clank synchronized with focus shifts.","black and white, high contrast, hard lighting",product_catalog,7,"Monochrome and contrast isolate form and texture, ideal for sophisticated product presentation.",Rack focus with synced mechanical audio
veo_31_0040,Veo 3.1,video,Product Photography,Automotive Products,"A detailed photorealistic shot of a premium car key fob resting on a dark textured surface, illuminated by soft diffused overhead lighting. Camera movement: slow dolly zoom from wide to close-up on button details and branding. Background: neutral dark to emphasize the product. Audio: soft button clicks synced with zoom.","photorealistic, soft diffused, neutral background",product_catalog,8,Soft lighting and zoom accentuate tactile details making the key fob feel premium and accessible.,Dolly zoom with synced button click audio
veo_31_0041,Veo 3.1,video,Product Photography,Automotive Products,"A cinematic, color graded profile shot of a matte black custom motorcycle helmet with reflective visor. Lighting is mixed natural diffused with neon rim lights in red and blue creating contrast. Camera movement: slow crane shot from top of helmet down to chin guard. Mood: edgy and futuristic. Audio: distant city night sounds with faint motorcycle engine revving.","cinematic, neon-lit, color graded",product_catalog,8,Neon accents and mixed lighting evoke modern urban appeal aligning with product style.,Crane shot with layered ambient audio
veo_31_0042,Veo 3.1,video,Product Photography,Automotive Products,A macro photorealistic shot of an engine oil dipstick with oily metal textures and engraved measurement markings. Use natural diffused window light and shallow depth of field to isolate detail. Camera movement: micro handheld push-in with slow rack focus from tip to engraved scale. Background: softly blurred engine block. Audio: faint metallic scrape synced with focus changes.,"macro, natural diffused, photorealistic",product_catalog,9,Macro detail paired with natural light reveals quality and precision essential for automotive parts.,Micro handheld push with rack focus and synced sound
veo_31_0043,Veo 3.1,video,Product Photography,Automotive Products,"A wide, cinematic 4K shot of a multi-spoke aluminum rim on a sports sedan, with rim flare effects and subtle film grain. Studio lighting uses three-point setup with strong key light highlighting the rim’s curves. Camera movement: slow lateral dolly tracking the rim circumference. Mood: sporty and high-end. Audio: low mechanical whirr synced with camera movement.","cinematic 4K, studio lighting, film grain",product_catalog,8,Combining film grain and dynamic lighting adds texture and a tactile feel to the product shot.,Dolly tracking with film grain and synced sound
veo_31_0044,Veo 3.1,video,Product Photography,Automotive Products,"A crisp, high-detail photorealistic shot of a car headrest with integrated active noise cancellation speakers. Use softbox lighting with a slight warm tone to highlight curves and speaker mesh texture. Camera movement: slow zoom from wide headrest to speaker grille close-up with shallow depth of field. Background: blurred car interior. Audio: soft white noise sound synced with zoom.","photorealistic, softbox lighting, warm tone",product_catalog,8,Emphasizes the product’s tech features with balanced lighting and synchronized audio for immersion.,Zoom with native ambient audio
veo_31_0045,Veo 3.1,video,Product Photography,Automotive Products,"A minimalist, top-down shot of a set of car floor mats arranged neatly on a textured concrete floor. Use natural diffused lighting with soft shadows to emphasize texture and material quality. Camera movement: static with a slow rack focus moving between different mat patterns. Background: rough industrial. Audio: ambient soft footsteps and floor mat shuffle sounds.","minimalist, natural diffused, textured",product_catalog,7,Top-down perspective combined with textural lighting communicates material feel and utility clearly.,Static shot with rack focus and native audio
veo_31_0046,Veo 3.1,video,Product Photography,Automotive Products,"A dramatic low-angle shot of a high-performance car suspension spring, isolated with neon purple rim lighting against a dark background. Camera movement: slow crane upward revealing spring coils. Lighting: neon-lit with emphasis on metallic reflections. Mood: industrial and powerful. Audio: metallic spring tension sound synced with camera reveal.","dramatic, neon-lit, low-angle",product_catalog,8,Strong lighting and unique angle highlight mechanical strength and design precision.,Crane shot with synced mechanical audio
veo_31_0047,Veo 3.1,video,Product Photography,Automotive Products,"A photorealistic, color-graded close-up of a luxury car emblem badge on a glossy hood surface, captured with golden hour lighting creating warm reflections and subtle lens flare. Camera movement: slow handheld push with shallow depth of field focusing on emblem details and textured paint. Background: softly blurred hood contours. Audio: soft wind and distant traffic ambiance.","photorealistic, golden hour, color graded",product_catalog,9,Warm natural light combined with close-up focus conveys brand prestige and product quality.,Handheld push with natural lighting and native ambient audio
veo_31_0048,Veo 3.1,video,Social Media,Instagram Reels,"A vibrant streetwear fashion shoot in an urban alley during golden hour. [00:00-00:04] Wide establishing shot of the model walking confidently, dolly push forward. [00:04-00:08] Close-up on clothing textures with rack focus. Natural diffused lighting enhances skin tones. Cinematic 4K with shallow depth of field. Audio: upbeat hip-hop instrumental with ambient city sounds.","urban, golden hour, cinematic 4K",instagram_reel,9,Combines dynamic movement and rich lighting to showcase fashion details appealing to Instagram audiences.,Timestamp-based multi-shot with dolly push and rack focus
veo_31_0049,Veo 3.1,video,Social Media,Instagram Reels,"A cozy morning coffee ritual inside a rustic kitchen. [00:00-00:03] Steadicam follows hands brewing coffee, close-up on steam rising. [00:03-00:06] Cut to wide shot of person enjoying the first sip by a window with natural diffused light. Warm magic hour ambiance, film grain for nostalgic feel. Audio: soft acoustic guitar with kettle whistle and pouring water SFX.","cozy, magic hour, nostalgic",instagram_reel,8,"Invokes a warm, relatable mood perfect for lifestyle content, enhanced by detailed natural sounds.",Steadicam close-ups paired with wide environmental shots
veo_31_0050,Veo 3.1,video,Social Media,Instagram Reels,"A high-energy fitness workout in a neon-lit gym. [00:00-00:05] Tracking shot following athlete sprinting on treadmill, neon pink and blue lighting. [00:05-00:10] Cut to close-up of muscular detail with lens flare and bokeh background. Cinematic color grading emphasizing contrast and saturation. Audio: motivating electronic dance music with breath and footstep SFX.","fitness, neon-lit, cinematic",instagram_reel,9,Dynamic visuals and energetic soundtrack engage fitness enthusiasts looking for motivation on reels.,Tracking shot with neon lighting and lens flare effects
veo_31_0051,Veo 3.1,video,Social Media,Instagram Reels,"An artistic makeup transformation tutorial in a studio setting. [00:00-00:04] Close-up detail of makeup brush applying vibrant colors, focus rack from brush to eye. [00:04-00:08] Wide shot revealing full face with anamorphic lens for cinematic framing and studio lighting. Color graded to emphasize hues. Audio: calm instrumental with brush strokes and soft spoken tips.","beauty, studio lighting, cinematic",instagram_reel,8,Detailed and visually rich shots make it easy for viewers to follow and appreciate the makeup process.,Rack focus combined with anamorphic lens cinematic framing
veo_31_0052,Veo 3.1,video,Social Media,Instagram Reels,"A mouth-watering cooking tutorial for a vegan recipe in a bright kitchen. [00:00-00:03] Overhead drone shot of fresh ingredients artfully arranged. [00:03-00:07] Tracking shot of chopping vegetables, handheld for intimacy. Natural diffused daylight with color grading to enhance colors. Audio: upbeat acoustic background music with chopping and sizzling SFX.","cooking, bright, natural light",instagram_reel,9,"Combines visually appealing food prep with immersive natural sounds, increasing viewer appetite and engagement.",Aerial drone shot plus handheld tracking
veo_31_0053,Veo 3.1,video,Social Media,Instagram Reels,"A motivational daily journaling routine filmed in a sunlit home office. [00:00-00:05] Close-up of pen writing on paper with shallow depth of field. [00:05-00:10] Cut to wide shot showing cozy workspace with plants and coffee cup, golden hour lighting. Soft film grain overlay for warmth. Audio: gentle piano melody with page turning SFX.","motivational, golden hour, cozy",instagram_reel,8,"Creates a calm, inspiring atmosphere perfect for mindfulness and productivity content.",Shallow depth of field with soft film grain
veo_31_0054,Veo 3.1,video,Social Media,Instagram Reels,"An exciting travel reveal of a tropical beach destination. [00:00-00:06] Aerial drone sweeping over turquoise water and white sand. [00:06-00:12] Handheld close-up of smiling traveler dipping toes in water, natural sunlight with lens flare. Cinematic 4K with vivid color grading. Audio: ambient ocean waves mixed with cheerful tropical music.","travel, aerial drone, vibrant",instagram_reel,10,Captures viewers’ wanderlust and excitement vividly using immersive angles and authentic sounds.,Aerial drone with handheld intimate shots and lens flare
veo_31_0055,Veo 3.1,video,Social Media,Instagram Reels,"A minimalist desk organization makeover with before and after shots. [00:00-00:04] Static wide shot of cluttered desk. [00:04-00:08] Time-lapse sequence cleaning and rearranging, handheld camera with natural diffused daylight. [00:08-00:12] Final steady wide shot of tidy workspace, color graded for crispness. Audio: light indie pop instrumental with ambient room sounds.","minimalist, time-lapse, clean",instagram_reel,8,Visual transformation and satisfying time-lapse editing appeal to productivity and lifestyle audiences.,Time-lapse handheld sequence with natural lighting
